 kode_mata_kuliah |                 nama_mata_kuliah                  | total_mahasiswa_mengambil | total_tidak_lulus | persentase_tidak_lulus | peringkat_kritis
     2021 | Pengantar Algoritma Berbasis Cloud                | Wajib             |             664 |         172 |        25.90 |                            170
     2021 | Manajemen Kecerdasan Buatan Berbasis Cloud        | Wajib             |             642 |         166 |        25.86 |                            171
     2021 | Evaluasi Manajemen Proyek TI Terapan              | Wajib             |             519 |         134 |        25.82 |                            172
     2021 | Kriptografi Kontemporer                           | Wajib             |             551 |         142 |        25.77 |                            173
     2021 | Sistem Basis Data I                               | Wajib             |             622 |         160 |        25.72 |                            174
     2021 | Praktikum Pemrosesan Bahasa Alami Lanjut          | Wajib             |             642 |         165 |        25.70 |                            175
     2021 | Evaluasi Pembelajaran Mendalam Terapan            | Wajib             |             510 |         131 |        25.69 |                            176
     2021 | Rekayasa Jaringan Komputer I                      | Wajib             |             518 |         133 |        25.68 |                            177
     2021 | Desain Sistem Basis Data II                       | Wajib             |             617 |         158 |        25.61 |                            178
     2021 | Evaluasi Jaringan Komputer Kontemporer            | Wajib             |             570 |         146 |        25.61 |                            179
     2021 | Keamanan Pembelajaran Mendalam Terapan            | Wajib             |             540 |         138 |        25.56 |                            180
     2021 | Keamanan Statistika Komputasi Kontemporer         | Wajib             |             595 |         152 |        25.55 |                            181
     2021 | Pengantar Statistika Komputasi Lanjut             | Wajib             |             675 |         172 |        25.48 |                            182
     2021 | Praktikum Pembelajaran Mesin Terapan              | Wajib             |             546 |         139 |        25.46 |                            183
     2021 | Desain Forensik Digital Lanjut                    | Wajib             |             567 |         144 |        25.40 |                            184
     2021 | Topik Khusus Sains Data II                        | Wajib             |             642 |         163 |        25.39 |                            185
     2021 | Keamanan Rekayasa Perangkat Lunak Lanjut          | Wajib             |             556 |         141 |        25.36 |                            186
     2021 | Desain Sistem Terdistribusi Terapan               | Wajib             |             548 |         138 |        25.18 |                            187
     2021 | Praktikum Pembelajaran Mendalam II                | Wajib             |             567 |         142 |        25.04 |                            188
     2021 | Jaringan Komputer Terapan                         | Wajib             |             630 |         157 |        24.92 |                            189
     2021 | Topik Khusus Komputasi Awan Berbasis Cloud        | Wajib             |             564 |         140 |        24.82 |                            190
     2021 | Keamanan Sistem Basis Data I                      | Wajib             |             623 |         154 |        24.72 |                            191
     2021 | Topik Khusus Analisis Data Eksploratif Lanjut     | Wajib             |             525 |         128 |        24.38 |                            192
     2021 | Keamanan Pembelajaran Mesin                       | Wajib             |             567 |         138 |        24.34 |                            193
     2021 | Pemrosesan Bahasa Alami Terapan                   | Wajib             |             618 |         150 |        24.27 |                            194
     2021 | Rekayasa Komputasi Awan Berbasis Cloud            | Wajib             |             574 |         138 |        24.04 |                            195
     2021 | Desain Manajemen Proyek TI I                      | Wajib             |             601 |         144 |        23.96 |                            196
     2021 | Audit Struktur Data I                             | Wajib             |             621 |         148 |        23.83 |                            197
     2021 | Kriptografi Berbasis Cloud                        | Wajib             |             534 |         125 |        23.41 |                            198
     2021 | Manajemen Statistika Komputasi                    | Wajib             |             511 |         119 |        23.29 |                            199
     2021 | Manajemen Forensik Digital I                      | Wajib             |             511 |         115 |        22.50 |                            200
     2022 | Praktikum Sistem Operasi Kontemporer              | Wajib             |             358 |         126 |        35.20 |                              1
     2022 | Evaluasi Manajemen Proyek TI Terapan              | Wajib             |             358 |         120 |        33.52 |                              2
     2022 | Desain Forensik Digital Lanjut                    | Wajib             |             410 |         137 |        33.41 |                              3
     2022 | Praktikum Statistika Komputasi Kontemporer        | Wajib             |             438 |         143 |        32.65 |                              4
     2022 | Manajemen Pemrosesan Bahasa Alami Kontemporer     | Wajib             |             382 |         124 |        32.46 |                              5
     2022 | Pemrosesan Bahasa Alami                           | Wajib             |             412 |         133 |        32.28 |                              6
     2022 | Evaluasi Kriptografi                              | Wajib             |             392 |         125 |        31.89 |                              7
     2022 | Praktikum Pemrosesan Bahasa Alami II              | Wajib             |             479 |         151 |        31.52 |                              8
     2022 | Evaluasi Statistika Komputasi I                   | Wajib             |             448 |         141 |        31.47 |                              9
     2022 | Praktikum Pembelajaran Mendalam Lanjut            | Wajib             |             404 |         127 |        31.44 |                             10
     2022 | Keamanan Pembelajaran Mendalam Terapan            | Wajib             |             376 |         118 |        31.38 |                             11
     2022 | Evaluasi Pembelajaran Mendalam Terapan            | Wajib             |             396 |         123 |        31.06 |                             12
     2022 | Desain Sistem Terdistribusi II                    | Wajib             |             380 |         118 |        31.05 |                             13
     2022 | Praktikum Visi Komputer II                        | Wajib             |             465 |         144 |        30.97 |                             14
     2022 | Manajemen Internet of Things Lanjut               | Wajib             |             350 |         108 |        30.86 |                             15
     2022 | Manajemen Pemrograman Web Terapan                 | Wajib             |             363 |         112 |        30.85 |                             16
     2022 | Evaluasi Struktur Data Kontemporer                | Wajib             |             391 |         120 |        30.69 |                             17
     2022 | Struktur Data                                     | Wajib             |             414 |         127 |        30.68 |                             18
     2022 | Desain Jaringan Komputer I                        | Wajib             |             401 |         123 |        30.67 |                             19
     2022 | Desain Pengembangan API Lanjut                    | Wajib             |             375 |         115 |        30.67 |                             20
     2022 | Pengantar Sistem Operasi                          | Wajib             |             398 |         122 |        30.65 |                             21
     2022 | Pemrosesan Bahasa Alami Terapan                   | Wajib             |             454 |         139 |        30.62 |                             22
     2022 | Pembelajaran Mendalam Lanjut                      | Wajib             |             469 |         143 |        30.49 |                             23
     2022 | Pengantar Forensik Digital II                     | Wajib             |             446 |         136 |        30.49 |                             24
     2022 | Audit Statistika Komputasi Lanjut                 | Wajib             |             484 |         147 |        30.37 |                             25
     2022 | Audit Pengembangan API Lanjut                     | Wajib             |             405 |         122 |        30.12 |                             26
     2022 | Praktikum Sistem Operasi                          | Wajib             |             402 |         121 |        30.10 |                             27
     2022 | Audit Visi Komputer Kontemporer                   | Wajib             |             473 |         142 |        30.02 |                             28
     2022 | Pengantar Sistem Terdistribusi Berbasis Cloud     | Wajib             |             398 |         119 |        29.90 |                             29
     2022 | Rekayasa Jaringan Komputer Kontemporer            | Wajib             |             420 |         125 |        29.76 |                             30
     2022 | Topik Khusus Jaringan Komputer Berbasis Cloud     | Wajib             |             427 |         127 |        29.74 |                             31
     2022 | Komputasi Awan I                                  | Wajib             |             424 |         126 |        29.72 |                             32
     2022 | Praktikum Pembelajaran Mendalam Terapan           | Wajib             |             367 |         109 |        29.70 |                             33
     2022 | Audit Sistem Terdistribusi Lanjut                 | Wajib             |             473 |         140 |        29.60 |                             34
     2022 | Rekayasa Manajemen Proyek TI Lanjut               | Wajib             |             392 |         116 |        29.59 |                             35
     2022 | Rekayasa Sistem Terdistribusi I                   | Wajib             |             372 |         110 |        29.57 |                             36
     2022 | Rekayasa Sains Data                               | Wajib             |             405 |         119 |        29.38 |                             37
     2022 | Manajemen Analisis Data Eksploratif Terapan       | Wajib             |             378 |         111 |        29.37 |                             38
     2022 | Pengantar Forensik Digital Kontemporer            | Wajib             |             409 |         120 |        29.34 |                             39
     2022 | Keamanan Analisis Data Eksploratif I              | Wajib             |             375 |         110 |        29.33 |                             40
     2022 | Manajemen Statistika Komputasi Lanjut             | Wajib             |             382 |         112 |        29.32 |                             41
     2022 | Sistem Operasi Berbasis Cloud                     | Wajib             |             376 |         110 |        29.26 |                             42
     2022 | Rekayasa Komputasi Awan Berbasis Cloud            | Wajib             |             404 |         118 |        29.21 |                             43
     2022 | Audit Algoritma I                                 | Wajib             |             394 |         115 |        29.19 |                             44
     2022 | Kecerdasan Buatan                                 | Wajib             |             415 |         121 |        29.16 |                             45
     2022 | Desain Internet of Things Terapan                 | Wajib             |             347 |         101 |        29.11 |                             46
     2022 | Rekayasa Komputasi Awan II                        | Wajib             |             368 |         107 |        29.08 |                             47
     2022 | Topik Khusus Jaringan Komputer                    | Wajib             |             372 |         108 |        29.03 |                             48
     2022 | Kriptografi Lanjut                                | Wajib             |             479 |         139 |        29.02 |                             49
     2022 | Audit Struktur Data I                             | Wajib             |             445 |         129 |        28.99 |                             50
     2022 | Desain Rekayasa Perangkat Lunak Terapan           | Wajib             |             345 |         100 |        28.99 |                             51
     2022 | Rekayasa Jaringan Komputer I                      | Wajib             |             383 |         111 |        28.98 |                             52
     2022 | Praktikum Komputasi Awan II                       | Wajib             |             428 |         124 |        28.97 |                             53
     2022 | Pengantar Manajemen Proyek TI Berbasis Cloud      | Wajib             |             466 |         135 |        28.97 |                             54
     2022 | Pengantar Sains Data Terapan                      | Wajib             |             408 |         118 |        28.92 |                             55
     2022 | Manajemen Kriptografi Kontemporer                 | Wajib             |             408 |         118 |        28.92 |                             56
     2022 | Sistem Basis Data I                               | Wajib             |             457 |         132 |        28.88 |                             57
     2022 | Evaluasi Manajemen Proyek TI Berbasis Cloud       | Wajib             |             454 |         131 |        28.85 |                             58
     2022 | Audit Pemrosesan Bahasa Alami                     | Wajib             |             503 |         145 |        28.83 |                             59
     2022 | Pembelajaran Mesin Kontemporer                    | Wajib             |             383 |         110 |        28.72 |                             60
     2022 | Desain Komputasi Awan I                           | Wajib             |             370 |         106 |        28.65 |                             61
     2022 | Pengantar Manajemen Proyek TI Kontemporer         | Wajib             |             409 |         117 |        28.61 |                             62
     2022 | Pengantar Statistika Komputasi Lanjut             | Wajib             |             416 |         119 |        28.61 |                             63
     2022 | Keamanan Rekayasa Perangkat Lunak Lanjut          | Wajib             |             381 |         109 |        28.61 |                             64
     2022 | Evaluasi Jaringan Komputer Berbasis Cloud         | Wajib             |             466 |         133 |        28.54 |                             65
     2022 | Rekayasa Pembelajaran Mesin Berbasis Cloud        | Wajib             |             446 |         127 |        28.48 |                             66
     2022 | Manajemen Manajemen Proyek TI Lanjut              | Wajib             |             450 |         128 |        28.44 |                             67
     2022 | Manajemen Rekayasa Perangkat Lunak I              | Wajib             |             436 |         124 |        28.44 |                             68
     2022 | Rekayasa Pengembangan API                         | Wajib             |             405 |         115 |        28.40 |                             69
     2022 | Praktikum Rekayasa Perangkat Lunak Berbasis Cloud | Wajib             |             377 |         107 |        28.38 |                             70
     2022 | Praktikum Sains Data Lanjut                       | Wajib             |             356 |         101 |        28.37 |                             71
     2022 | Audit Visi Komputer                               | Wajib             |             441 |         125 |        28.34 |                             72
     2022 | Desain Jaringan Komputer                          | Wajib             |             353 |         100 |        28.33 |                             73
     2022 | Keamanan Struktur Data II                         | Wajib             |             417 |         118 |        28.30 |                             74
     2022 | Manajemen Struktur Data Berbasis Cloud            | Wajib             |             417 |         118 |        28.30 |                             75
     2022 | Keamanan Pembelajaran Mesin                       | Wajib             |             428 |         121 |        28.27 |                             76
     2022 | Evaluasi Jaringan Komputer Kontemporer            | Wajib             |             407 |         115 |        28.26 |                             77
     2022 | Audit Forensik Digital Lanjut                     | Wajib             |             397 |         112 |        28.21 |                             78
     2022 | Pengantar Sistem Terdistribusi Terapan            | Wajib             |             376 |         106 |        28.19 |                             79
     2022 | Keamanan Siber Berbasis Cloud                     | Wajib             |             369 |         104 |        28.18 |                             80
     2022 | Praktikum Algoritma                               | Wajib             |             451 |         127 |        28.16 |                             81
     2022 | Topik Khusus Visi Komputer Terapan                | Wajib             |             490 |         138 |        28.16 |                             82
     2022 | Desain Matematika Diskrit Terapan                 | Wajib             |             452 |         127 |        28.10 |                             83
     2022 | Kriptografi Kontemporer                           | Wajib             |             424 |         119 |        28.07 |                             84
     2022 | Desain Sistem Basis Data Lanjut                   | Wajib             |             397 |         111 |        27.96 |                             85
     2022 | Audit Jaringan Komputer Lanjut                    | Wajib             |             476 |         133 |        27.94 |                             86
     2022 | Topik Khusus Sistem Operasi Lanjut                | Wajib             |             383 |         107 |        27.94 |                             87
     2022 | Desain Pembelajaran Mendalam II                   | Wajib             |             376 |         105 |        27.93 |                             88
     2022 | Audit Pengembangan API                            | Wajib             |             448 |         125 |        27.90 |                             89
     2022 | Evaluasi Struktur Data I                          | Wajib             |             441 |         123 |        27.89 |                             90
     2022 | Praktikum Sistem Operasi I                        | Wajib             |             434 |         121 |        27.88 |                             91
     2022 | Praktikum Rekayasa Perangkat Lunak II             | Wajib             |             373 |         104 |        27.88 |                             92
     2022 | Sistem Terdistribusi Berbasis Cloud               | Wajib             |             424 |         118 |        27.83 |                             93
     2022 | Desain Algoritma Berbasis Cloud                   | Wajib             |             428 |         119 |        27.80 |                             94
     2022 | Evaluasi Pemrograman Web Terapan                  | Wajib             |             432 |         120 |        27.78 |                             95
     2022 | Evaluasi Struktur Data Lanjut                     | Wajib             |             443 |         123 |        27.77 |                             96
     2022 | Desain Algoritma                                  | Wajib             |             443 |         123 |        27.77 |                             97
     2022 | Rekayasa Pemrograman Web II                       | Wajib             |             353 |          98 |        27.76 |                             98
     2022 | Keamanan Struktur Data I                          | Wajib             |             433 |         120 |        27.71 |                             99
     2022 | Pengantar Sistem Terdistribusi I                  | Wajib             |             372 |         103 |        27.69 |                            100
     2022 | Praktikum Pembelajaran Mendalam II                | Wajib             |             430 |         119 |        27.67 |                            101
     2022 | Manajemen Pembelajaran Mesin II                   | Wajib             |             416 |         115 |        27.64 |                            102
     2022 | Manajemen Pembelajaran Mendalam Kontemporer       | Wajib             |             467 |         129 |        27.62 |                            103
     2022 | Topik Khusus Pembelajaran Mesin Kontemporer       | Wajib             |             421 |         116 |        27.55 |                            104
     2022 | Audit Matematika Diskrit II                       | Wajib             |             404 |         111 |        27.48 |                            105
     2022 | Manajemen Statistika Komputasi                    | Wajib             |             362 |          99 |        27.35 |                            106
     2022 | Desain Struktur Data Terapan                      | Wajib             |             359 |          98 |        27.30 |                            107
     2022 | Keamanan Statistika Komputasi Lanjut              | Wajib             |             401 |         109 |        27.18 |                            108
     2022 | Evaluasi Forensik Digital I                       | Wajib             |             412 |         112 |        27.18 |                            109
     2022 | Keamanan Statistika Komputasi Kontemporer         | Wajib             |             405 |         110 |        27.16 |                            110
     2022 | Manajemen Kecerdasan Buatan II                    | Wajib             |             394 |         107 |        27.16 |                            111
     2022 | Jaringan Komputer Terapan                         | Wajib             |             468 |         127 |        27.14 |                            112
     2022 | Evaluasi Algoritma Lanjut                         | Wajib             |             376 |         102 |        27.13 |                            113
     2022 | Desain Matematika Diskrit I                       | Wajib             |             380 |         103 |        27.11 |                            114
     2022 | Rekayasa Rekayasa Perangkat Lunak I               | Wajib             |             432 |         117 |        27.08 |                            115
     2022 | Praktikum Struktur Data Terapan                   | Wajib             |             384 |         104 |        27.08 |                            116
     2022 | Desain Manajemen Proyek TI I                      | Wajib             |             451 |         122 |        27.05 |                            117
     2022 | Evaluasi Visi Komputer Kontemporer                | Wajib             |             386 |         104 |        26.94 |                            118
     2022 | Manajemen Visi Komputer                           | Wajib             |             349 |          94 |        26.93 |                            119
     2022 | Manajemen Visi Komputer Terapan                   | Wajib             |             416 |         112 |        26.92 |                            120
     2022 | Algoritma Lanjut                                  | Wajib             |             390 |         105 |        26.92 |                            121
     2022 | Desain Kriptografi Berbasis Cloud                 | Wajib             |             364 |          98 |        26.92 |                            122
     2022 | Kriptografi Terapan                               | Wajib             |             446 |         120 |        26.91 |                            123
     2022 | Topik Khusus Matematika Diskrit II                | Wajib             |             469 |         126 |        26.87 |                            124
     2022 | Manajemen Pembelajaran Mendalam                   | Wajib             |             458 |         123 |        26.86 |                            125
     2022 | Topik Khusus Rekayasa Perangkat Lunak             | Wajib             |             484 |         130 |        26.86 |                            126
     2022 | Keamanan Matematika Diskrit Berbasis Cloud        | Wajib             |             391 |         105 |        26.85 |                            127
     2022 | Praktikum Pembelajaran Mesin Terapan              | Wajib             |             369 |          99 |        26.83 |                            128
     2022 | Keamanan Pemrograman Web I                        | Wajib             |             466 |         125 |        26.82 |                            129
     2022 | Pengembangan API II                               | Wajib             |             373 |         100 |        26.81 |                            130
     2022 | Topik Khusus Algoritma Kontemporer                | Wajib             |             434 |         116 |        26.73 |                            131
     2022 | Topik Khusus Internet of Things Berbasis Cloud    | Wajib             |             434 |         116 |        26.73 |                            132
     2022 | Praktikum Pengembangan API II                     | Wajib             |             363 |          97 |        26.72 |                            133
     2022 | Keamanan Pembelajaran Mendalam Lanjut             | Wajib             |             409 |         109 |        26.65 |                            134
     2022 | Pengantar Sistem Basis Data Kontemporer           | Wajib             |             470 |         125 |        26.60 |                            135
     2022 | Audit Visi Komputer Berbasis Cloud                | Wajib             |             441 |         117 |        26.53 |                            136
     2022 | Rekayasa Matematika Diskrit                       | Wajib             |             423 |         112 |        26.48 |                            137
     2022 | Evaluasi Kriptografi Lanjut                       | Wajib             |             428 |         113 |        26.40 |                            138
     2022 | Evaluasi Visi Komputer Berbasis Cloud             | Wajib             |             470 |         124 |        26.38 |                            139
     2022 | Desain Sistem Terdistribusi Terapan               | Wajib             |             368 |          97 |        26.36 |                            140
     2022 | Pengantar Pemrograman Web Lanjut                  | Wajib             |             471 |         124 |        26.33 |                            141
     2022 | Audit Sistem Terdistribusi I                      | Wajib             |             395 |         104 |        26.33 |                            142
     2022 | Topik Khusus Pemrosesan Bahasa Alami Lanjut       | Wajib             |             468 |         123 |        26.28 |                            143
     2022 | Sistem Terdistribusi II                           | Wajib             |             415 |         109 |        26.27 |                            144
     2022 | Manajemen Kecerdasan Buatan Berbasis Cloud        | Wajib             |             453 |         119 |        26.27 |                            145
     2022 | Keamanan Kecerdasan Buatan Lanjut                 | Wajib             |             374 |          98 |        26.20 |                            146
     2022 | Praktikum Visi Komputer Lanjut                    | Wajib             |             386 |         101 |        26.17 |                            147
     2022 | Pembelajaran Mendalam Berbasis Cloud              | Wajib             |             426 |         111 |        26.06 |                            148
     2022 | Evaluasi Pengembangan API Lanjut                  | Wajib             |             426 |         111 |        26.06 |                            149
     2022 | Rekayasa Forensik Digital Kontemporer             | Wajib             |             346 |          90 |        26.01 |                            150
     2022 | Praktikum Pemrograman Web I                       | Wajib             |             454 |         118 |        25.99 |                            151
     2022 | Keamanan Rekayasa Perangkat Lunak II              | Wajib             |             397 |         103 |        25.94 |                            152
     2022 | Desain Keamanan Siber Lanjut                      | Wajib             |             367 |          95 |        25.89 |                            153
     2022 | Evaluasi Sains Data Terapan                       | Wajib             |             364 |          94 |        25.82 |                            154
     2022 | Pengantar Pemrosesan Bahasa Alami Terapan         | Wajib             |             388 |         100 |        25.77 |                            155
     2022 | Audit Sistem Terdistribusi Terapan                | Wajib             |             478 |         123 |        25.73 |                            156
     2022 | Topik Khusus Sains Data II                        | Wajib             |             436 |         112 |        25.69 |                            157
     2022 | Desain Sistem Basis Data II                       | Wajib             |             456 |         117 |        25.66 |                            158
     2022 | Praktikum Kriptografi Lanjut                      | Wajib             |             367 |          94 |        25.61 |                            159
     2022 | Sains Data Berbasis Cloud                         | Wajib             |             392 |         100 |        25.51 |                            160
     2022 | Evaluasi Pembelajaran Mesin Kontemporer           | Wajib             |             394 |         100 |        25.38 |                            161
     2022 | Audit Kriptografi                                 | Wajib             |             469 |         119 |        25.37 |                            162
     2022 | Topik Khusus Analisis Data Eksploratif Lanjut     | Wajib             |             367 |          93 |        25.34 |                            163
     2022 | Keamanan Sistem Basis Data I                      | Wajib             |             458 |         116 |        25.33 |                            164
     2022 | Pengantar Algoritma Berbasis Cloud                | Wajib             |             458 |         116 |        25.33 |                            165
     2022 | Audit Sistem Basis Data Berbasis Cloud            | Wajib             |             483 |         122 |        25.26 |                            166
     2022 | Pengantar Manajemen Proyek TI Terapan             | Wajib             |             393 |          99 |        25.19 |                            167
     2022 | Manajemen Pemrosesan Bahasa Alami Terapan         | Wajib             |             350 |          88 |        25.14 |                            168
     2022 | Desain Algoritma II                               | Wajib             |             422 |         106 |        25.12 |                            169
     2022 | Sains Data II                                     | Wajib             |             367 |          92 |        25.07 |                            170
     2022 | Praktikum Komputasi Awan Terapan                  | Wajib             |             399 |         100 |        25.06 |                            171
     2022 | Audit Analisis Data Eksploratif Kontemporer       | Wajib             |             368 |          92 |        25.00 |                            172
     2022 | Evaluasi Statistika Komputasi Terapan             | Wajib             |             446 |         111 |        24.89 |                            173
     2022 | Rekayasa Internet of Things Lanjut                | Wajib             |             399 |          99 |        24.81 |                            174
     2022 | Pengantar Pemrosesan Bahasa Alami Berbasis Cloud  | Wajib             |             488 |         121 |        24.80 |                            175
     2022 | Evaluasi Sistem Basis Data Lanjut                 | Wajib             |             355 |          88 |        24.79 |                            176
     2022 | Audit Sains Data II                               | Wajib             |             448 |         111 |        24.78 |                            177
     2022 | Praktikum Komputasi Awan                          | Wajib             |             396 |          98 |        24.75 |                            178
     2022 | Manajemen Pemrosesan Bahasa Alami Lanjut          | Wajib             |             373 |          92 |        24.66 |                            179
     2022 | Rekayasa Visi Komputer Terapan                    | Wajib             |             361 |          89 |        24.65 |                            180
     2022 | Praktikum Pembelajaran Mesin II                   | Wajib             |             410 |         101 |        24.63 |                            181
     2022 | Desain Pemrograman Web Kontemporer                | Wajib             |             452 |         111 |        24.56 |                            182
     2022 | Praktikum Pemrosesan Bahasa Alami Lanjut          | Wajib             |             433 |         106 |        24.48 |                            183
     2022 | Manajemen Struktur Data                           | Wajib             |             409 |         100 |        24.45 |                            184
     2022 | Manajemen Forensik Digital I                      | Wajib             |             401 |          98 |        24.44 |                            185
     2022 | Evaluasi Analisis Data Eksploratif                | Wajib             |             455 |         111 |        24.40 |                            186
     2022 | Rekayasa Struktur Data Terapan                    | Wajib             |             447 |         109 |        24.38 |                            187
     2022 | Topik Khusus Algoritma Berbasis Cloud             | Wajib             |             384 |          93 |        24.22 |                            188
     2022 | Praktikum Pembelajaran Mesin Lanjut               | Wajib             |             461 |         111 |        24.08 |                            189
     2022 | Topik Khusus Komputasi Awan Berbasis Cloud        | Wajib             |             428 |         103 |        24.07 |                            190
     2022 | Rekayasa Pengembangan API I                       | Wajib             |             370 |          89 |        24.05 |                            191
     2022 | Keamanan Pemrosesan Bahasa Alami Lanjut           | Wajib             |             472 |         113 |        23.94 |                            192
     2022 | Audit Analisis Data Eksploratif Berbasis Cloud    | Wajib             |             385 |          92 |        23.90 |                            193
     2022 | Evaluasi Kecerdasan Buatan I                      | Wajib             |             415 |          98 |        23.61 |                            194
     2022 | Pengantar Kecerdasan Buatan II                    | Wajib             |             365 |          86 |        23.56 |                            195
     2022 | Evaluasi Statistika Komputasi Kontemporer         | Wajib             |             444 |         103 |        23.20 |                            196
     2022 | Rekayasa Visi Komputer Berbasis Cloud             | Wajib             |             380 |          87 |        22.89 |                            197
     2022 | Kriptografi Berbasis Cloud                        | Wajib             |             376 |          86 |        22.87 |                            198
     2022 | Audit Struktur Data Terapan                       | Wajib             |             379 |          82 |        21.64 |                            199
     2022 | Rekayasa Statistika Komputasi I                   | Wajib             |             441 |          88 |        19.95 |                            200
     2023 | Manajemen Visi Komputer Terapan                   | Wajib             |             206 |          74 |        35.92 |                              1
     2023 | Praktikum Algoritma                               | Wajib             |             254 |          87 |        34.25 |                              2
     2023 | Audit Statistika Komputasi Lanjut                 | Wajib             |             246 |          83 |        33.74 |                              3
     2023 | Jaringan Komputer Terapan                         | Wajib             |             248 |          82 |        33.06 |                              4
     2023 | Audit Visi Komputer Kontemporer                   | Wajib             |             248 |          80 |        32.26 |                              5
     2023 | Pengantar Pemrograman Web Lanjut                  | Wajib             |             242 |          78 |        32.23 |                              6
     2023 | Sains Data II                                     | Wajib             |             212 |          68 |        32.08 |                              7
     2023 | Evaluasi Visi Komputer Kontemporer                | Wajib             |             194 |          61 |        31.44 |                              8
     2023 | Manajemen Struktur Data Berbasis Cloud            | Wajib             |             227 |          71 |        31.28 |                              9
     2023 | Evaluasi Struktur Data Lanjut                     | Wajib             |             240 |          75 |        31.25 |                             10
     2023 | Evaluasi Kriptografi Lanjut                       | Wajib             |             260 |          81 |        31.15 |                             11
     2023 | Keamanan Rekayasa Perangkat Lunak Lanjut          | Wajib             |             207 |          64 |        30.92 |                             12
     2023 | Rekayasa Internet of Things Lanjut                | Wajib             |             219 |          67 |        30.59 |                             13
     2023 | Manajemen Struktur Data                           | Wajib             |             197 |          60 |        30.46 |                             14
     2023 | Topik Khusus Pemrosesan Bahasa Alami Lanjut       | Wajib             |             260 |          79 |        30.38 |                             15
     2023 | Manajemen Pembelajaran Mendalam                   | Wajib             |             228 |          69 |        30.26 |                             16
     2023 | Manajemen Pemrosesan Bahasa Alami Terapan         | Wajib             |             205 |          62 |        30.24 |                             17
     2023 | Audit Forensik Digital Lanjut                     | Wajib             |             232 |          70 |        30.17 |                             18
     2023 | Evaluasi Kecerdasan Buatan I                      | Wajib             |             230 |          69 |        30.00 |                             19
     2023 | Evaluasi Pemrograman Web Terapan                  | Wajib             |             237 |          71 |        29.96 |                             20
     2023 | Manajemen Kriptografi Kontemporer                 | Wajib             |             217 |          65 |        29.95 |                             21
     2023 | Desain Struktur Data Terapan                      | Wajib             |             207 |          62 |        29.95 |                             22
     2023 | Pemrosesan Bahasa Alami                           | Wajib             |             194 |          58 |        29.90 |                             23
     2023 | Pengantar Sistem Basis Data Kontemporer           | Wajib             |             241 |          72 |        29.88 |                             24
     2023 | Topik Khusus Algoritma Berbasis Cloud             | Wajib             |             228 |          68 |        29.82 |                             25
     2023 | Rekayasa Pengembangan API                         | Wajib             |             205 |          61 |        29.76 |                             26
     2023 | Audit Struktur Data Terapan                       | Wajib             |             195 |          58 |        29.74 |                             27
     2023 | Evaluasi Forensik Digital I                       | Wajib             |             263 |          78 |        29.66 |                             28
     2023 | Desain Sistem Basis Data II                       | Wajib             |             227 |          67 |        29.52 |                             29
     2023 | Pengantar Statistika Komputasi Lanjut             | Wajib             |             261 |          77 |        29.50 |                             30
     2023 | Manajemen Statistika Komputasi                    | Wajib             |             214 |          63 |        29.44 |                             31
     2023 | Keamanan Siber Berbasis Cloud                     | Wajib             |             231 |          68 |        29.44 |                             32
     2023 | Pembelajaran Mendalam Berbasis Cloud              | Wajib             |             231 |          68 |        29.44 |                             33
     2023 | Audit Visi Komputer                               | Wajib             |             238 |          70 |        29.41 |                             34
     2023 | Evaluasi Struktur Data I                          | Wajib             |             259 |          76 |        29.34 |                             35
     2023 | Keamanan Pemrograman Web I                        | Wajib             |             267 |          78 |        29.21 |                             36
     2023 | Audit Sistem Terdistribusi I                      | Wajib             |             217 |          63 |        29.03 |                             37
     2023 | Desain Komputasi Awan I                           | Wajib             |             193 |          56 |        29.02 |                             38
     2023 | Topik Khusus Rekayasa Perangkat Lunak             | Wajib             |             255 |          74 |        29.02 |                             39
     2023 | Algoritma Lanjut                                  | Wajib             |             214 |          62 |        28.97 |                             40
     2023 | Praktikum Komputasi Awan Terapan                  | Wajib             |             211 |          61 |        28.91 |                             41
     2023 | Evaluasi Pembelajaran Mendalam Terapan            | Wajib             |             243 |          70 |        28.81 |                             42
     2023 | Rekayasa Jaringan Komputer I                      | Wajib             |             198 |          57 |        28.79 |                             43
     2023 | Desain Matematika Diskrit Terapan                 | Wajib             |             247 |          71 |        28.74 |                             44
     2023 | Kriptografi Berbasis Cloud                        | Wajib             |             223 |          64 |        28.70 |                             45
     2023 | Desain Algoritma Berbasis Cloud                   | Wajib             |             258 |          74 |        28.68 |                             46
     2023 | Praktikum Pengembangan API II                     | Wajib             |             206 |          59 |        28.64 |                             47
